group_label,take_count,frame_count,distance_mm_count,distance_mm_mean,distance_mm_median,distance_mm_p95,distance_mm_max,angle_x_deg_count,angle_x_deg_mean,angle_x_deg_median,angle_x_deg_p95,angle_x_deg_max,angle_y_deg_count,angle_y_deg_mean,angle_y_deg_median,angle_y_deg_p95,angle_y_deg_max,angle_z_deg_count,angle_z_deg_mean,angle_z_deg_median,angle_z_deg_p95,angle_z_deg_max,angle_max_deg_count,angle_max_deg_mean,angle_max_deg_median,angle_max_deg_p95,angle_max_deg_max
back | markers_6 | Cam_12 | cover,1,2101,2101,0.14904941849316272,0.09333968733005729,0.4533297583950582,1.0156937423781707,2101,0.025637313829406295,0.020553041716257155,0.07051117000450455,0.17778589299055864,2101,0.028669052651937817,0.024093063299890666,0.07672890788511336,0.1904803393886736,2101,0.02371663971301012,0.021109671997755243,0.05022122847072538,0.16760737634508485,2101,0.031048399567675033,0.026018500302172183,0.07886953694907782,0.1904803393886736
back | markers_6 | Cam_15 | cover,1,2101,2101,0.12350436385092319,0.11709087081744884,0.3501117472491206,1.172616854384811,2101,0.0186109871454059,0.01437694589675333,0.063499762108968,0.19109736698634225,2101,0.02018342177860857,0.014492549814157471,0.07979569530849447,0.1947715437267854,2101,0.01718410410711621,0.013352030611720926,0.05200763988040027,0.1648083146172196,2101,0.022636073068431215,0.01683368755305095,0.08422440991391349,0.1947715437267854
back | markers_6 | Cam_18 | cover,1,2101,2101,0.15259364349773502,0.16620458896465193,0.3296474041601397,0.7220373457135665,2101,0.017924367887505382,0.008617849770635946,0.0538479283229748,0.15442668277894878,2101,0.02880564663921742,0.03206427066742752,0.06219542939635998,0.17947245976931134,2101,0.022590844238066874,0.026302121934726946,0.04334551281586961,0.14590578592365136,2101,0.029618727452379656,0.03286489750130475,0.06266663057960392,0.17947245976931134
back | markers_6 | Cam_21 | cover,1,2101,2101,0.09243840916201136,0.1033527922555151,0.2360891761192367,0.7476686626290759,2101,0.019819006243687945,0.018751914914396737,0.04857609738715739,0.08016405221246035,2101,0.021395713196812282,0.02265234521607295,0.049104930700666134,0.09966587823768118,2101,0.02047896267334252,0.019407620028849215,0.056513454688968505,0.10259209815394037,2101,0.024813686201016708,0.02569209592207543,0.057569029643791216,0.10259209815394037
center | markers_6 | Cam_12 | cover,1,2101,2101,0.11046800080091318,0.12469273458150858,0.24295246848705673,0.3316547490611586,2101,0.018148652374410042,0.020069716152273338,0.03654000049069991,0.05847591127209892,2101,0.017572709118942112,0.020007978478146952,0.03738648033343773,0.07384105776515013,2101,0.015290281027405334,0.014946164297952182,0.03573812327394678,0.07996272210020253,2101,0.020667730310863337,0.023794580938194365,0.04079408605837506,0.07996272210020253
center | markers_6 | Cam_15 | cover,1,2101,2101,0.11027277816830328,0.10645870329574669,0.24248315509568266,0.3147231886926473,2101,0.01222077948306909,0.010026722694233511,0.029701275956345658,0.048986850995602974,2101,0.019193234076490227,0.016674890943054695,0.046808722090037815,0.07214362365115856,2101,0.020814978346365753,0.017556344878756548,0.049288834524080005,0.07972751047584611,2101,0.021831000052203006,0.018927432809191243,0.0494530967839184,0.07972751047584611
center | markers_6 | Cam_18 | cover,1,2101,2101,0.07482460193909875,0.07726106838024066,0.1473744295661446,0.2387565725997827,2101,0.009288326908494189,0.009727624106335042,0.01804118178068471,0.029047311524586075,2101,0.006279038494460484,0.00551142532474522,0.016691799086969,0.0364237235995125,2101,0.010133820922839187,0.01014723032455996,0.019657454065419265,0.035365212499294,2101,0.010744815984762691,0.010737692474963444,0.02076286757973461,0.0364237235995125
center | markers_6 | Cam_21 | cover,1,2101,2101,0.042185140598077236,0.03792203846714408,0.10507411597173999,0.17575791224387216,2101,0.00781641399340658,0.006687766691711345,0.017608083894098497,0.03380328230610089,2101,0.007359258026873057,0.005952474045418352,0.020968475837131358,0.04255435783477541,2101,0.00970491846716084,0.008440102620606342,0.02458297264609622,0.05058418644110548,2101,0.01019565681424411,0.00894870355953693,0.025154707235345398,0.05058418644110548
left | markers_6 | Cam_12 | cover,1,2102,2102,0.25589107179508086,0.2204562933178389,0.6096260663978347,0.981158472612385,2102,0.023179335590663982,0.014162378652497726,0.06158973286500997,0.10744375579227501,2102,0.03629604997391559,0.02820368766860895,0.09740785677714689,0.19795211486334022,2102,0.038475362225605776,0.02931267102892243,0.10363800693958082,0.20118733388147103,2102,0.04085195289678163,0.03794537671329975,0.1057701957636597,0.20118733388147103
left | markers_6 | Cam_15 | cover,1,2101,2101,0.19330793342695363,0.20585657566148075,0.4343471339688498,0.5707814800792796,2101,0.02529896876981422,0.026006525142344816,0.05695477544781011,0.07284910836007331,2101,0.024070175376038346,0.020915462744490635,0.05816729854881056,0.15295847356859157,2101,0.027631274021927544,0.02535626082563753,0.05982182798852982,0.16128919022882066,2101,0.031826576317145965,0.031488729167890764,0.06294077293315065,0.16128919022882066
left | markers_6 | Cam_18 | cover,1,2101,2101,0.23381214601743436,0.276199243199311,0.41725480709801727,0.5600661734825003,2101,0.013225177606903166,0.009365241302328116,0.03275929713310735,0.08234343543635415,2101,0.04136892785837297,0.0495259437894497,0.08155758441439562,0.10136809145341641,2101,0.040866981227121874,0.04731151996953275,0.08117785116585295,0.10149045500789679,2101,0.04266919349547488,0.049781278980050116,0.08192347569051187,0.10149045500789679
